,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022
16-19 Total,3755000,4884000,5353000,5049000,4781000,4994000,4893000,4793000,4606000,4792000,4890000,5108000,5327000,5952000,6403000,5702000,5097000,5137000,5107000,5068000,5102000,5094000,5350000,5319000,5472000,6356000,6557000,6247000,5337000
20-24 Total,10596000,11669000,12154000,12528000,12561000,13225000,13169000,13002000,12856000,13017000,13009000,13018000,13082000,13749000,13865000,13462000,13448000,13800000,13842000,13758000,13376000,13609000,13611000,13532000,13667000,14235000,14435000,13864000,13666000
25-34 Total,31356000,32009000,31962000,32765000,33405000,34018000,33767000,33993000,33687000,33966000,34125000,34377000,34470000,34196000,34421000,34575000,34780000,35257000,35622000,35464000,34726000,35052000,35358000,35523000,35609000,35345000,35190000,35362000,35451000
35-44 Total,30163000,30909000,31215000,31873000,31844000,32100000,32290000,32052000,32046000,32061000,32356000,32491000,32567000,32528000,32740000,32828000,33085000,33237000,33354000,33521000,34050000,34443000,34672000,34696000,34773000,34399000,34422000,34592000,34735000
45-54 Total,28628000,29489000,29327000,29863000,29777000,30247000,30337000,30382000,30137000,30337000,30431000,30366000,30383000,30305000,30426000,30479000,30837000,30862000,31056000,31031000,31437000,31427000,31758000,31630000,31573000,31457000,31436000,31691000,32105000
55-64 Total,24196000,24673000,24966000,25476000,25448000,25757000,25542000,25413000,25207000,25614000,25763000,25792000,26020000,25732000,25981000,26025000,26289000,26212000,26186000,26122000,26653000,26842000,26941000,26952000,26983000,26551000,26693000,26451000,26705000
65+ Total,8767000,9178000,9515000,9671000,9980000,10093000,10206000,9978000,9842000,9736000,9919000,10008000,9930000,9822000,9760000,10161000,10489000,10463000,10629000,10769000,10274000,10475000,10415000,10340000,10533000,10336000,10333000,10508000,11004000
M16-25 Total,7403000,8420000,8966000,9096000,8825000,9184000,9049000,8911000,8886000,8910000,8910000,9231000,9353000,9972000,10294000,9869000,9347000,9576000,9644000,9452000,9294000,9433000,9549000,9486000,9721000,10575000,10733000,10199000,9615000
M25-54 Total,48647000,49575000,49744000,50761000,50918000,51369000,51207000,51177000,50957000,51162000,51374000,51680000,51835000,51861000,52327000,52406000,52634000,53007000,53157000,52948000,53236000,53898000,54113000,54296000,54412000,54238000,54256000,54246000,54560000
M55+ Total,17954000,18430000,18665000,18855000,19073000,19241000,19034000,18867000,18691000,18783000,18904000,19055000,19242000,19161000,19297000,19395000,19751000,19580000,19673000,19625000,19846000,20129000,20240000,20141000,20246000,19877000,19965000,20059000,20512000
